"id","name","code","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile","note"
"tr700","Transitory Accounts For Accounting","700","account.data_account_type_expenses","l10n_tr.chart_template_7a","","FALSE","Genel Muhasebe ile maliyet muhasebesi arasında bağlantıyı sağlayan ve genel muhasebe tarafından tutulan hesaptır.\n\nMaliyet muhasebesinin genel muhasebeden ayrı izlendiği durumlarda maliyetlerle ilgili giderler genel muhasebe tarafından bu hesaba borç kaydedilir.\n\nİşleyişi :\n\nMaliyetle ilgili tüm giderler tahakkuk ettikçe hu hesaba borç, ilgili aktif ve pasif hesaplara alacak kaydedilir. Maliyet dönemleri sonunda maliyet muhasebesi tarafından genel muhasebeye bildirilen veriler bu hesabın alacağına, ilgili hesapların borcuna kaydedilir."
"tr701","Reflection Accounts For Cost Accounting","701","account.data_account_type_expenses","l10n_tr.chart_template_7a","","FALSE","Genel Muhasebe ile maliyet muhasebesi arasında bağlantıyı sağlayan ve maliyet muhasebesi tarafından tutulan ve ""700- Maliyet Muhasebesi Bağlantı Hesabı""nın borcuna kaydedilen giderlerin, maliyet muhasebesince ilgili hesaplara aktarılmasını sağlayan hesaptır.\n\nİşleyişi :\n\nGenel muhasebede ""700- Maliyet Muhasebesi Bağlantı Hesabı""nın borcuna kaydedilen giderler genel muhasebeden gelen belgeler doğrultusunda maliyet muhasebesinde bu hesabın alacağına, fonksiyonel gider hesaplarının borcuna kaydedilir. Maliyet muhasebesinden genel muhasebeye aktarılan tutarlar ise bu hesabın borcuna, ilgili fonksiyonel gider yansıtma hesaplarının alacağına kaydedilir.\n\n71 DİREKT İLKMADDE VE MALZEME GİDERLERİ\n\nBu grupta yer alan he"
"tr710","Direct Raw Materials And Supplies Expenses","710","account.data_account_type_expenses","l10n_tr.chart_template_7a","","FALSE","Bu giderler, esas üretim gider yerleri ile ilgili olup, mamülün bünyesine giren, mamülün temel öğesini oluşturan ve mamülün bünyesine doğrudan yüklenebilen maddelerin kullanımı fiili tutarlarla bu hesapta izlenir. Üretimde kullanılmayan ve satılan ilkmadde ve malzemenin maliyeti bu hesapta izlenmez.\n\nİşleyişi :\n\nDönem içinde üretimde kullanılmak üzere ana ve yardımcı üretim yerlerinde ambardan çekilen direkt maddeler bu hesabın borcuna, ""150- İlkmadde ve Malzeme Hesabı""nın alacağına kaydedilir. Eş zamanlı kayıt sistemi uygulayan işletmelerde giderlerin tahakkuk kaydının yapılmasını sağlamak üzere düzenlenen fişde, gider çeşidi ile gider yeri kodunun yazılması esastır.\n\nHesapla ilgili yapılan düzeltmeler hesabın "
"tr711","Reflection Account For Direct Raw Materials And Supplies","711","account.data_account_type_expenses","l10n_tr.chart_template_7a","","FALSE","Fiili maliyet yönteminin uygulandığı durumlarda ""710- Direkt İlkmadde ve Malzeme Giderleri Hesabı""nın borcuna gider çeşidi olarak kaydedilen giderler ile, önceden saptanmış maliyet yöntemlerinin uygulandığı durumlarda, önceden hesaplanmış giderler, maliyet unsuru olarak bu hesabın alacağı karşılığında ""151- Yarı Mamüller-Üretim Hesabı""na borç kaydedilir. Dönem sonlarında ""710- Direkt İlkmadde ve Malzeme Giderleri Hesabı"" ile karşılaştırılarak kapatılır."
"tr712","Price Differences Of Direct Raw Materials And Supplies","712","account.data_account_type_expenses","l10n_tr.chart_template_7a","","FALSE","Önceden saptanmış maliyet hesaplama yöntemlerinin uygulandığı durumlarda fiili direkt ilkmadde ve malzeme giderleri ile önceden saptanmış ve maliyetlere yüklenmiş, direkt ilkmadde ve malzeme giderleri arasındaki olumlu veya olumsuz fiyat farklarının izlendiği hesaptır. Olumsuz fiyat farkları bu hesabın borcuna, olumlu fiyat farkları ise alacağına kaydedilir. Dönem sonlarında bu hesap ilgili stok ve satış maliyet hesaplarına aktarılarak kapatılır."
"tr713","Quantity Differences Of Direct Raw Materials And Supplies","713","account.data_account_type_expenses","l10n_tr.chart_template_7a","","FALSE","Önceden saptanmış maliyet yöntemlerinin uygulandığı durumlarda fiili direkt ilkmadde ve malzeme giderleri ile önceden saptanmış direkt ilkmadde ve malzeme giderleri arasındaki olumlu veya olumsuz miktar farklarının kaydedildiği hesaptır. Olumsuz miktar farkları hesabın borcuna, olumlu farklar ise alacağına kaydedilir. Dönem sonunda hu hesap ilgili stok ve satış maliyet hesaplarına aktarılarak kapatılır.\n\n72 DİREKT İŞÇİLİK GİDERLERİ\n\nBu grup bir mal veya hizmetin üretim maliyetine doğrudan doğruya verilebilen işçilik giderleri ile ilgili gider, yansıtma ve fark hesaplarından oluşur."
"tr720","Direct Labour Expenses","720","account.data_account_type_expenses","l10n_tr.chart_template_7a","","FALSE","Bu giderler esas üretim gider yerleri ile ilgili olup, belli bir mamül veya hizmetin üretim maliyetine doğrudan doğruya yüklenebilen işçilik giderlerini kapsar. Bu giderler hangi mamül veya mamül grubu için harcandığı izlenebilen ve herhangi bir dağıtım anahtarına gerek duymadan, işçi başına düşen çalışma süresi ölçülebilen işçilik giderlerinden oluşur."
"tr721","Reflection Account For Direct Labour Expenses","721","account.data_account_type_expenses","l10n_tr.chart_template_7a","","FALSE","Fiili maliyet yönteminin uygulandığı durumlarda ""720- Direkt İşçilik Giderleri Hesabı""nın borcuna gider çeşidi olarak kaydedilen giderler ile önceden saptanmış maliyet yöntemlerinin uygulandığı durumlarda önceden saptanmış direkt işçilik giderleri, maliyet unsuru olarak bu hesabın alacağı karşılığında ""151- Yarı Mamüller Üretim Hesabı""na borç kaydedilir.\n\nFiili maliyet yönteminin uygulandığı işletmelerde üretim yapılmayan işçilikler olağan durumlarda bu hesabın alacağı karşılığı ""680- Çalışmayan Kısım Giderleri Hesabı""nın borcuna aktarılır."
"tr722","Direct Labour Wage Differences","722","account.data_account_type_expenses","l10n_tr.chart_template_7a","","FALSE","Önceden saptanmış maliyet hesaplama yöntemlerinin uygulandığı durumlarda, fiili direkt işçilik giderleri ile önceden saptanmış ve maliyetlere yüklenmiş direkt işçilik giderleri arasındaki olumlu veya olumsuz ücret farklarının izlendiği hesaptır.\n\nOlumsuz ücret farkları bu hesabın borcuna, olumlu ücret farkları ise alacağına kaydedilir. Bu hesap dönem sonlarında ilgili stok ve satış maliyeti hesaplarına aktarılarak kapatılır."
"tr723","Direct Labour Time Differences","723","account.data_account_type_expenses","l10n_tr.chart_template_7a","","FALSE","Önceden saptanmış maliyet yöntemlerinin uygulandığı durumlarda fiili giderler ile önceden saptanmış giderler arasındaki olumlu ya da olumsuz süre (zaman) farklarının kaydedildiği hesaptır.\n\nOlumsuz süre farkları bu hesabın borcuna olumlu süre farkları ise alacağına kaydedilir. Dönem sonlarında bu hesap ilgili stok ve satış maliyeti hesaplarına aktarılarak kapatılır.\n\n73 GENEL ÜRETİM GİDERLERİ\n\nBu grup işletmenin üretimi ve bu üretime bağlı hizmetler için yapılan direkt ilk madde ve malzeme ve direkt işçilik dışında kalan giderlerle ilgili gider, yansıtma ve fark hesaplarından oluşur."
